Ja,authors,title,journal,abstract,year,doi,Quelle,Themenkomplex,ÖSL,Biodiv-Facette,Einfluss,Methode,Notiz zum Vote Count,Ort,Ort Details,Lebensraum,Art(en),Ökologische Einheit,Artengruppe,ESGroup,Boden?,Lebensraum_Gruppiert,CICES-Bereich,CICES-Gruppe,CICES-Klasse,CICES-Code,Bereich-Kurz,Klasse kurz
Ja,"Huth, E, Paltrinieri, S, Thiele, J",Bioenergy and its effects on landscape aesthetics - A survey contrasting conventional and wild crop biomass production,BIOMASS & BIOENERGY,"The number of biogas plants in Germany that operate with renewable raw materials, especially maize, increased considerably between 1992 and 2016. The associated rise of areas farmed with maize has led to changes in the landscape. The present article investigates how these changes are perceived by chosen actor groups and whether wild plant mixtures as an alternative substrate are offering aesthetic value. In order to pursue this question, two independent surveys were conducted in the Munsterland area in North Rhine-Westphalia. We first used landscape photos in accordance with the Q methodology design; the second survey was part of the Regionale 2016 ""GrunSchatz"" project and used questionnaires and guideline-based interviews. The surveys reach the following conclusion: landscapes poor in structures and monotonous are assessed as less worth living in. Landscapes with only few maize fields were not assessed worse than landscapes without maize. Compared with that, landscapes dominated by maize fields were considered significantly worse. The evaluation shows a significantly better assessment of wild plant areas than maize areas regarding landscape aesthetics and are seen to improve the landscape. Due to the higher aesthetic value of wild plant mixtures, agriculturists also expect to improve the image of their profession. According to the two studies presented in this article, the attitude of exclusively considering the ""tidiness"" of the landscape, which had been prevalent in the past, seems to have given way to a more popular varied landscape.",2019,10.1016/j.biombioe.2019.01.043,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Artenvielfalt,pos,Befragung,Maismono. vs. Biogras Mix,Deutschland ,Münsterland,Agrar- und Offenland,Mais,Feld,Pflanzen,Ästhetischer Wert,,Agrar- und Offenland,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Ungaro, F, Hafner, K, Zasada, I, Piorr, A",Mapping cultural ecosystem services: Connecting visual landscape quality to cost estimations for enhanced services provision,LAND USE POLICY,"This paper presents a methodology to map demand for cultural ecosystem services assessed via a visual choice experiment approach aimed to estimate the contributions of different landscape elements to the overall landscape preference in a case study region in North-East Germany. The levels of four landscape attributes, i.e. green linear elements, green point elements, livestock and crop diversity are mapped over 100 m regular square grid, which allows identifying priority areas for local landscape management from an aesthetic perspective. Taking into account local conditions, target thresholds were set in terms of optimal probability of occurrence for linear and point elements in order to enhance cultural services supply. For the whole area an average potential increase in attractiveness of nearly 24% was estimated, resulting from the increase of both point and linear elements. Likewise, an average potential loss of 23% in attractiveness results from the removal of landscape elements down to the reference median thresholds. As the increment in linear element probability was mapped, the associated density increase and preference score were calculated. The related costs were estimated and mapped as well. Setting local reference thresholds equal to the observed median frequencies results in an estimated increase in linear elements of ca. 43 km. Depending on the element types, total costs are estimated between 389 and 842k(sic), respectively 15-30 (sic)ha(-1). Costs in terms of increased landscape attractiveness, expressed in utility class score, are estimated as well. The findings are discussed in a planning and policy intervention context. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.landusepol.2016.02.007,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Artenvielfalt,pos,Befragung,Auswirkung von Getreidediversität auf Ästhetik ,Deutschland,Brandenburg,Grünland,,Bestand,Pflanzen,Ästhetischer Wert,,Agrar- und Offenland,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Füger, F., et al.",Can Visual Aesthetic Components and Acceptance Be Traced Back to Forest Structure?,"Forests 2021, 12, 701","The importance of local forests as places of recreation and human well-being depends very much on their visual impact on human perception. Forest managers, therefore, seek to achieve structural elements or attributes that can be used to enhance the visual aesthetics of managed forest ecosystems. The following survey was undertaken in the Tharandter Forest in Saxony (Germany). The field interviews were focussed on visual aesthetics and acceptance. The statements of the 53 participants in the survey were used to analyse views concerning typical Norway spruce forest types: with the regeneration of deciduous tree species in the background, without regeneration, and with European beech as a second layer in the foreground. The evaluation of the questionnaires confirmed a clear ranking. The forest view with the regeneration of deciduous tree species received the highest number of positive scores, followed by the forest view with beech as a second layer. The forest view characterised by pure and dense Norway spruce trees received the worst rating, differing significantly from the other two, on the basis of the spatial arrangement, visual diversity and acceptance. Linear mixed models demonstrated that visual aesthetics was mostly explained by visual diversity as a result of tree species diversity or mixtures and age structures, the diversity of surrounding structures and colours, ground vegetation or visibility.",2021,10.3390/f12060701,Review Wald,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Artenvielfalt,pos,Befragung,,Deutschland,Tharandter Wald,Wald,,Ökosystem,Bäume,Ästhetischer Wert,,Wald,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Fuger, F, Huth, F, Wagner, S, Weber, N",Can Visual Aesthetic Components and Acceptance Be Traced Back to Forest Structure?,FORESTS,"The importance of local forests as places of recreation and human well-being depends very much on their visual impact on human perception. Forest managers, therefore, seek to achieve structural elements or attributes that can be used to enhance the visual aesthetics of managed forest ecosystems. The following survey was undertaken in the Tharandter Forest in Saxony (Germany). The field interviews were focussed on visual aesthetics and acceptance. The statements of the 53 participants in the survey were used to analyse views concerning typical Norway spruce forest types: with the regeneration of deciduous tree species in the background, without regeneration, and with European beech as a second layer in the foreground. The evaluation of the questionnaires confirmed a clear ranking. The forest view with the regeneration of deciduous tree species received the highest number of positive scores, followed by the forest view with beech as a second layer. The forest view characterised by pure and dense Norway spruce trees received the worst rating, differing significantly from the other two, on the basis of the spatial arrangement, visual diversity and acceptance. Linear mixed models demonstrated that visual aesthetics was mostly explained by visual diversity as a result of tree species diversity or mixtures and age structures, the diversity of surrounding structures and colours, ground vegetation or visibility.",2021,10.3390/f12060701,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Artenvielfalt,pos,Befragung,Faktoren die den ästhetischen Wert der Landschaft beeinflussen ,Deutschland,Sachsen,Wald,,Ökosystem,Bäume,Ästhetischer Wert,,Wald,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Lindemann-Matthies, P, Brieger, H",Does urban gardening increase aesthetic quality of urban areas? A case study from Germany,URBAN FORESTRY & URBAN GREENING,"We tested in two corresponding studies the hypothesis that urban gardening is of visual aesthetic value to the public. With the help of photo-realistic visualizations and a written questionnaire, 109 students and employees of the Karlsruhe University of Education (study 1) and 200 passers-by in the city of Karlsruhe (study 2) were asked about their opinion on different urban gardening scenarios, and attitudes towards urban gardening. Our results indicate that urban gardening can contribute to perceived attractiveness of urban areas, but that not all approaches are perceived as equally positive. While flowerbeds or flower meadows and orderly-managed vegetable plots, in comparison to conventional lawns, increased the aesthetic appeal of urban green space, container gardening approaches, which were often characterized as chaotic, did not. Although flower scenarios were preferred over vegetable scenarios, participants were rather positive about the idea of having more vegetable plots around. Socio-demographic variables had only minor influences on preferences and attitudes. As people were fonder of flowerbeds or flower meadows than of vegetable plots, a mixture of both might be advisable in urban gardening sites. This would also increase overall diversity, which is not only beneficial from an aesthetic, but also from an ecological point of view. (C) 2016 Elsevier GmbH. All rights reserved.",2016,10.1016/j.ufug.2016.03.010,Gesamtreview - Urban,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Artenzusammensetzung,ja,Befragung,Gemüse vs. Blumenbeete,Deutschland,Karlsruhe,Urbaner Raum,,Bestand,,Ästhetischer Wert,,Urbane Räume,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Voelker, S, Kistemann, T",Developing the urban blue: Comparative health responses to blue and green urban open spaces in Germany,HEALTH & PLACE,"Recently, new perspectives upon healthy urban open spaces propose that open spaces can be regarded as urban green or blue spaces. However, there has so far been very little research into blue environments and their benefits for mental well-being. Our article focuses on the effects of water in cities, ""urban blue"" (as compared to ""urban green""), on human health and well-being. To assess the mental well-being of visitors, we conducted qualitative semi-standardised interviews (n=113), asking which differences in well-being occur when visiting urban green and blue spaces in high-density areas of the inner city in Dusseldorf and Cologne, Germany. Although we found many similarities, some health-enhancing effects for users turned out to be prominent for urban blue in the four conceptual therapeutic landscape dimensions: experienced, symbolic, social and activity space. These effects include enhanced contemplation, emotional bonding, participation, and physical activity. The results suggest that urban blue as a health-promoting factor needs more detailed and accurate determination and examination of its general and local health-enhancing effects. (C) 2014 Elsevier Ltd. All rights reserved.",2015,10.1016/j.healthplace.2014.10.015,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Landschaftstyp,ja,Befragung,Wahrnehmung von urbanen blue-spaces unterscheidet sich von green-spaces und normaler Stadtumgebung ,Deutschland,"Köln, Düsseldorf",Urbane Räume,,Ökosystem,,Ästhetischer Wert,,Urbane Räume,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Voigt, A, Kabisch, N, Wurster, D, Haase, D, Breuste, J",Structural Diversity: A Multi-dimensional Approach to Assess Recreational Services in Urban Parks,AMBIO,"Urban green spaces provide important recreational services for urban residents. In general, when park visitors enjoy ""the green,"" they are in actuality appreciating a mix of biotic, abiotic, and man-made park infrastructure elements and qualities. We argue that these three dimensions of structural diversity have an influence on how people use and value urban parks. We present a straightforward approach for assessing urban parks that combines multi-dimensional landscape mapping and questionnaire surveys. We discuss the method as well the results from its application to differently sized parks in Berlin and Salzburg.",2014,10.1007/s13280-014-0508-9,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Strukturelle Diversität,pos,Befragung,strukturelle Diversität in urbanen Parks wird als positiv wahrgenommen und waldartige Strukturen als hochwertig angesehen,"Deutschland, Österreich","Berlin, Salzburg",Urbane Räume,,Ökosystem,,Ästhetischer Wert,,Urbane Räume,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Sacher, P., et al.",Evidence of the association between deadwood and forest recreational site choices,Forest Policy and Economics 135 (2022) 102638,"The level of biodiversity is in decline, also in forests. As more natural structures are known to safeguard biodiversity, changes in forest management, including higher amounts of deadwood, may help reverse the decline. However, this could lead to trade-offs between forest ecosystem services, and forest recreation might be negatively affected by the presence of more natural forest structures, especially deadwood. So far, only a few studies have investigated the influence of deadwood on recreation in larger forest areas and on a national or regional scale. To better understand the possible impact, we analysed how higher amounts and different forms of deadwood would affect site preferences for recreation employing an online survey based on a representative sample in Bavaria, Germany (N = 1462). A choice experiment comprising different forest alternatives with varying degrees of deadwood showed that the amount of deadwood does not influence respondents' choice of recreation sites. However, deadwood quality attributes, i.e. structural variety and advanced decomposition positively impacted site choices. Latent class models revealed both observed and unobserved taste heterogeneity. Deadwood was, however, not an essential attribute for the forest site-selection, while infrastructure facilities or good paths/accessibility were more important. The results show that no significant trade-offs between forest recreation and deadwood enrichment exist. At the same time, respondents showed solid preferences for improving habitats for rare and endangered species in forests, indicating that biodiversity is significant to them. As the preferences for a mixture of standing and lying structures also coincide with conservation ecology research, we conclude that conflicts between recreationists and increased occurrence of deadwood to promote biodiversity are not that severe as often assumed by forest managers.",2022,10.1016/j.forpol.2021.102638,Review Wald,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Strukturelle Diversität,pos,Befragung,Diversität von Totholzstrukturen,Deutschland,Bayern,Wald,,Bestand,,Ästhetischer Wert,,Wald,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Fuger, F, Huth, F, Wagner, S, Weber, N",Can Visual Aesthetic Components and Acceptance Be Traced Back to Forest Structure?,FORESTS,"The importance of local forests as places of recreation and human well-being depends very much on their visual impact on human perception. Forest managers, therefore, seek to achieve structural elements or attributes that can be used to enhance the visual aesthetics of managed forest ecosystems. The following survey was undertaken in the Tharandter Forest in Saxony (Germany). The field interviews were focussed on visual aesthetics and acceptance. The statements of the 53 participants in the survey were used to analyse views concerning typical Norway spruce forest types: with the regeneration of deciduous tree species in the background, without regeneration, and with European beech as a second layer in the foreground. The evaluation of the questionnaires confirmed a clear ranking. The forest view with the regeneration of deciduous tree species received the highest number of positive scores, followed by the forest view with beech as a second layer. The forest view characterised by pure and dense Norway spruce trees received the worst rating, differing significantly from the other two, on the basis of the spatial arrangement, visual diversity and acceptance. Linear mixed models demonstrated that visual aesthetics was mostly explained by visual diversity as a result of tree species diversity or mixtures and age structures, the diversity of surrounding structures and colours, ground vegetation or visibility.",2021,10.3390/f12060701,Gesamtreview,Kulturelle Leistungen,Ästhetischer Wert der Landschaft,Strukturelle Diversität,pos,Befragung,Faktoren die den ästhetischen Wert der Landschaft beeinflussen ,Deutschland,Sachsen,Wald,,Ökosystem,,Ästhetischer Wert,,Wald,"Direkte Interaktionen mit lebenden Systemen an Ort und Stelle und im Freien, die von der Präsenz in der Umwelt abhängen ",Kognitive und emotionale Interaktion mit der natürlichen Umwelt,"Merkmale lebender Systeme, die ästhetische Erfahrungen ermöglichen",3.1.2.4,Direkte Interaktionen,Ästhetische Erfahrung
Ja,"Karrasch, L, Maier, M, Kleyer, M, Klenke, T",Collaborative Landscape Planning: Co-Design of Ecosystem-Based Land Management Scenarios,SUSTAINABILITY,"Land management in coastal areas has to cope with impacts of climate change and sea level rise. In Germany, landscape plans assess and organize the spatial allocation of land use as an environmental contribution to general spatial planning. Collaborative planning processes are important to develop sustainable and ecosystem-based strategies to make coastal landscapes climate proof. However, there is little experience with collaborative processes in practical planning in Germany, and probably in other countries as well. This paper conducts an empirical case study in the low-lying coastal areas of northwest Germany. During a collaborative landscape planning process, four different ecosystem-based land management scenarios have been co-designed by regional experts and researchers. The participatory and iterative process included the development of scenario narratives to define planning goals, the use of land use elements and their relations to ecosystem services as planning entities in terms of indicators, the art-based illustrations of the different scenarios, and an evaluation and monitoring of the outcomes by regional experts. The decision-maker group decided on the so-called ""actor-based"" scenario, which contained freshwater retention areas (polders) to prevent potential uncontrolled flooding of the hinterland. This climate adaptation strategy has been implemented in the regional development plan of the county.",2017,10.3390/su9091668,Gesamtreview,Stabilität und Resilienz,Klimaschutz,Strukturelle Diversität,pos,Befragung,C-Sequestrierung vs. Wassermanagement vs. keine Änderung vs. Planungsspezifische Landschaftsnutzung,Deutschland,Krummhörn,Küste,,Ökosystem,,Atmosphärische Zusammensetzung,,Küste und Küstengewässer,"Regulierung der physikalischen, chemischen und biologischen Bedingungen",Atmosphärische Zusammensetzung und Bedingungen,Regulierung der chemischen Zusammensetzung der Atmosphäre und der Ozeane,2.2.6.1,Regulierung,Regulierung der chemischen Zusammensetzung
