N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,Name_pdf,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,ZUS,Grossregion,X,Y,geographische_Genauigkeit_km,Breitengrad_Laengengrad,Boden,Antwortvariable,Antwortvariable_andere,Antwortvariable_Einheit,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Untergruppe_Andere,Artname_deutsch,Artname_wissensch,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_beprobte_Jahre,Methode,ExperimentObservation,Trend,Trend_Info,Potential_Metaanalyse,Beschreibung_Potential,Direkte Treiber,Haupttreiber_1,Haupttreiber_2,Nebentreiber_1,Nebentreiber_2,Direkter Treiber_Details,Maßnahme_Schutzgebiet,Maßnahme_Schutzgebiet_Andere,Maßnahme_Managementmaßnahme,Maßnahme_Impulsmaßnahmen,Notizen,Notizen_Maria,LiteraturRawdata,Studie_in_D,Untergruppe_RoteListen_ORIG,KIBA_D_change
8,VJ4BEK2S,non_Sys,Bergerhausen,1981,Die Situation der Wiedereinbuergerung des Uhus in der Bundesrepublik Deutschland,Natur und Landschaft,,Bergerhausen_1981.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,,,Deutschland,"Hessen, Niedersachsen, Nordrhein-Westfalen, Saarland",,D38,,8741,51211,300,,,Abundanz,,,Zeit,Wirbeltiere,Vögel,Vögel,,Uhu,,1,1973,1980,7,8,Anzahl Bruten und Bruterfolge in 2 Großräume,Beobachtung,positive,,gering,Tab. 1: Bruten und Bruterfolge wiedereingebürgerter Uhus,Direkte Ressourcenentnahme,Direkte Ressourcenentnahme,,,,"Ursache Rückgang 19.Jh.: Abschuss, Eiersammeln, KfZ, Bahn, hier Erfolg von Wiedereinbürgerung",,,Wiederansiedlung/Auswilderung,,,,Literatur,D,Vögel,
14,P2NC3SKD,non_Sys,Bücking,1989,Bannwald Bechtaler Wald: Dauerbeobachtungen 1970-1988,Natur und Landschaft,,Bücking_1989.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,Bannwald,,Deutschland,Baden-Württemberg,Waldschutzgebiet Bannwald Bechtaler Wald,D53,,7848374045,481132509,50,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,8,1970,1988,18,2,Vegetationskarten,Beobachtung,positive,,gering,Abb. 1: Vegetationskarten Bannwald 1970 und 1988,Andere direkte Treiber,Andere direkte Treiber,,,,"Sukzession nach ""Bannung""",,,Extensivierung,,Renaturierungsprojekt,,Literatur,D,Farn- und Blütenpflanzen,
32,Ellwanger2014,non_Sys,Ellwanger,2014,Der nationale Bericht 2013 zu Lebensraumtypen und Arten der FFH-Richtlinie. Ein Überblick über die Ergebnisse,Natur und Landschaft,,Ellwanger_2014.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,,"atlantisch, kontinental, alpin",Deutschland,,"alpin, atlantisch, kontinental",D36,,10279,51415,700,,,Abundanz,RL Status,,Zeit,Pflanzen,Moose,Moose,,,,2,2007,2013,6,2,RL Status,Beobachtung,positive,,gering,Tab. 4: Arten mit tatsächlicher Veränderung des Erhaltungszustandes,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,"(+) Naturschutzmaßnahmen, Gewässerqualität, Gewässerstruktur, FFH Management, ... (-) Intensivierung Landwirtschaft, häufigere Mahd, Düngung, invasive Arten, …",,,,,,,Literatur,D,Moose,
61,TYTG8U8R,non_Sys,Kostrzewa,1988,Die Beeintraechtigung von Greifvogelhabitaten durch anthropogene Einfluesse: Untersuchungen in der Niederrheinischen Bucht,Natur und Landschaft,,Kostrzewa_1988.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,"Wald, Waldrand, Offenland","Wald, Waldrand, Offenland",Deutschland,Nordrhein-Westfalen,Niederrheinische Bucht,D35,,6586453898,5090876276,20,,,Abundanz,,Ind./Fläche,Zeit,Wirbeltiere,Vögel,Vögel,Greifvögel,,,8,1981,1986,5,2,Bestand,Beobachtung,negative,"nur Trend angegeben, keine Werte",gering,"Tab. 2: greifvogelbestände im Untersuchungsgebiet, mittlere Siedlungsdichte",Veränderung der Struktur der Landschaft,Veränderung der Struktur der Landschaft,,,,"Habitatfragmentierung, Störung durch Mensch",,,,,,,Literatur,D,Vögel,
111,K4ZL3L4P,non_Sys,Wolf,1989,Probleme der Vegetationsentwicklung auf forstlichen Rekultivierungsflaechen im Rheinischen Braunkohlenrevier,Natur und Landschaft,,Wolf_1989.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,Rekultivierungsfläche,Rekultivierungsfläche,Deutschland,Nordrhein-Westfalen,"Hochhalde Sophienhöhe, westl. Köln",D35,,6449166998,50937222,2,,,Artenzahl,,,"Zeit, Waldbodenimpfung",Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1984,1988,4,5,Deckung und Frequenz,"Experiment, Experiment, Beobachtung",positive,,gering,Tab. 3: Artenzahl mit/ohne Waldbodenimpfung über Jahre,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,Einfluss Waldbodenimpfung,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
112,SZ75F5Z9,non_Sys,Wölfl,2021,Status des Luchses in Deutschland,Natur und Landschaft,,Wölfl_2021.pdf,,Maria Sporbert,"Maria Sporbert, Leana Meder",Wald,Wald,Wald,Deutschland,"Bayern, Rheinland-Pfalz",,D59,,10342,49061,250,,,Abundanz,,,Zeit,Wirbeltiere,Säuger,Säuger,,Eurasischer Luchs,Lynx lynx,1,1990,2018,28,30,"Anzahl Rasterzellen, Nachweise",Beobachtung,positive,,gering,"Abb.1: Vorkommen Luchse in Deutschland, Abb.2: Räumliche Entwicklung Luchse in Bayern",Andere direkte Treiber,Andere direkte Treiber,,,,"Wiederansiedlung, Schutz",,,"Wiederansiedlung, Schutz",,,,Literatur,D,Säugetiere,
117,Brunzel2011,non_Sys,Brunzel,2011,Veränderungen von Tagfaltergemeinschaften: Einfluss klimatischer Faktoren auf Artenhäufigkeiten im westlichen Weserbergland und im Märkischen Sauerland,Naturschutz und Landschaftsplanung,,Brunzel_2011.pdf,,Maria Sporbert,Maria Sporbert,Wald,"Pionierrasen in Steinbrüchen, magere Weiden, Feuchtwiesen,  Niedermoore, Laubwälder, Heiden Übergangsmoore",,Deutschland,Nordrhein-Westfalen,"Westliches Weserbergland, Märkisches Sauerland",D34,,8655807199,5167761426,100,,,Abundanz,,,Zeit,Wirbellose,Arthropoden,Arthropoden,,,,>20,2000,2010,10,11,Abundanzänderungen,Beobachtung,negative,"Abnahme Arten in Magerrasen, Zunahme Arten in Wald(rand)",hoch,"Tab. 1: Veränderung Rasterfreuquenz (Zu-/Abnehmede Arten), Abb. 1: Abundanz-Schwankungen einzelner Arten","Klimawandel, Veränderung der Struktur der Landschaft",Klimawandel,Veränderung der Struktur der Landschaft,,,"Klima, strukturelle Habitatveränderungen",,,,,,,Literatur,D,Tagfalter,
120,KEGR9PZ4,non_Sys,Dölle,2020,"Vom Auenwald zum Rot-Buchenwald?: Entwicklung der Vegetation im Naturwaldreservat und Naturschutzgebiet ""Riedried"" (Pfälzer Rheinaue) von 1986 bis 2018",Naturschutz und Landschaftsplanung,,Dölle_2020.pdf,,Maria Sporbert,Maria Sporbert,Wald,Naturwaldreservat,,Deutschland,Rheinland-Pfalz,"Naturwaldreservat und NSG ""Riedried""",D53,,8135256672,4901976747,10,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Bäume,,,10,1986,2018,32,2,Stetigkeit und mittlere Deckung,Beobachtung,positive,"Abnahme Baumschicht, begünstigt Zunahme Strauch- und Krautschicht",hoch,"Tab. 2: Stetigkeit, Deckungsgrade in 3 versch. Waldtypen zu 2 Zeitpunkten, Abb. 4: Boxplots Artenzahlen",Andere direkte Treiber,Andere direkte Treiber,,,,"unter Schutzstellen, Ende Enttorfung, Klima, Einfluss von Pflegemaßnahmen, Eschentriebsterben",Andere,NSG Riedried,,,,,Literatur,D,Farn- und Blütenpflanzen,
122,2AWXR7KG,non_Sys,Ebert,2011,Umsiedlungserfolg von Larven des Hirschkäfers: Ergebnisse einer fünfjährigen Schlüpf-Kontrolle,Naturschutz und Landschaftsplanung,,Ebert_2011.pdf,,Maria Sporbert,Maria Sporbert,Wald,,,Deutschland,Hessen,Wald südl. Flughafen Frankfurt,D53,,8543382969,4999427885,10,,,Abundanz,,,Zeit,Wirbellose,Arthropoden,Arthropoden,,Hirschkäfer,Lucanus cervus,1,2006,2010,4,5,Anzahl geschlüpfte Käfer je Stubbe,Beobachtung,negative to positive,,gering,Abb. 1 und 2: Anzahl geschlüpfte Käfer,Andere direkte Treiber,Andere direkte Treiber,,,,Wegen Rodung Umsetztung von 7m³ Erdboden inkl. Larven und Brutsubstrat,,,,,,,Literatur,D,Laufkäfer,
137,JRWX3P9Z,non_Sys,Tillmann,2020,Der Goldschakal in Deutschland: Einordnung der ersten Nachweise in das Ausbreitungsgeschehen und Überlegungen zum Umgang mit der Art,Naturschutz und Landschaftsplanung,,Tillmann_2020.pdf,,Maria Sporbert,Maria Sporbert,Wald,offene Landschaften,offene Landschaften,Deutschland,,,D36,,10279,51415,700,,,Abundanz,,,Zeit,Wirbeltiere,Säuger,Säuger,,Goldschakal,,1,1997,2020,23,25,"Foto, Abschuss, DNA-Nachweis, Verkehrsopfer",Beobachtung,positive,,gering,Abb. 3:Nachweise Goldschakal,"Andere direkte Treiber, Klimawandel, Veränderung der Struktur der Landschaft",Veränderung der Struktur der Landschaft,Klimawandel,,,"Verbot Giftköder, Teiweise Schutzstatus, gutes Nahrungsangebot, Aufforstung, Abwesenheit Wolf, Klimawandel (urspr. in wärmeren Regionen)",,,,,,,Literatur,D,Säugetiere,
