N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,X,Y,geographische_Genauigkeit_km,Antwortvariable,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_Jahre,ExperimentObservation,Trend,Massnahme_Schutz,Massnahme_Schutz_andere,Massnahme_Management,Massnahme_Impuls,Notizen,LiteraturRawdata,Studie_in_D,ID,StationID,Antwortvariable_ORIG
214,Schmidt2012,NA,Schmidt,2012,"13 Jahre nach dem Sturm - Vegetationsentwicklung im Buchen-Naturwald ""Königsbuche"" (südwestliches Harzvorland, Niedersachsen)",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Königsbuche""",NA,Deutschland,Niedersachsen,Rotenberg,10.36671758,51.5831002,20,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1998,2010,13,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
215,Schmidt2012,NA,Schmidt,2012,"13 Jahre nach dem Sturm - Vegetationsentwicklung im Buchen-Naturwald ""Königsbuche"" (südwestliches Harzvorland, Niedersachsen)",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Königsbuche""",NA,Deutschland,Niedersachsen,Rotenberg,10.36671758,51.5831002,20,Abundanz,Zeit,Pflanzen,Moose,Moose,NA,1998,2010,13,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
216,Schmidt2012,NA,Schmidt,2012,"13 Jahre nach dem Sturm - Vegetationsentwicklung im Buchen-Naturwald ""Königsbuche"" (südwestliches Harzvorland, Niedersachsen)",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Königsbuche""",NA,Deutschland,Niedersachsen,Rotenberg,10.36671758,51.5831002,20,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1998,2010,13,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
217,Schmidt2012,NA,Schmidt,2012,"13 Jahre nach dem Sturm - Vegetationsentwicklung im Buchen-Naturwald ""Königsbuche"" (südwestliches Harzvorland, Niedersachsen)",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Königsbuche""",NA,Deutschland,Niedersachsen,Rotenberg,10.36671758,51.5831002,20,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1998,2010,13,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
218,Schmidt2012,NA,Schmidt,2012,"13 Jahre nach dem Sturm - Vegetationsentwicklung im Buchen-Naturwald ""Königsbuche"" (südwestliches Harzvorland, Niedersachsen)",Hercynia,NA,NA,Emilia Schlotfeldt,Emilia Schlotfeldt,Wald,"Naturwald ""Königsbuche""",NA,Deutschland,Niedersachsen,Rotenberg,10.36671758,51.5831002,20,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1998,2010,13,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10643,Schmidt2000,NA,Schmidt A.,2000,30-jährige Untersuchungen in Fledermauskastengebieten Ostbranden burgs unter besonderer Berücksichtigung von Rauhhautfledermaus (Pipistrellus nathusii) und Abendsegler (Nyctalus noctula),"Nyctalus (N.F.), Band 7(2000), Heft 4, S. 396-422",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Möllenwinkel,14.23772017,52.08649871,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1973,1997,25,24,Beobachtung,no,NA,NSG Möllenwinkel,NA,NA,NA,Literatur,NA,NA,NA,NA
10644,Schmidt2000,NA,Schmidt A.,2000,30-jährige Untersuchungen in Fledermauskastengebieten Ostbranden burgs unter besonderer Berücksichtigung von Rauhhautfledermaus (Pipistrellus nathusii) und Abendsegler (Nyctalus noctula),"Nyctalus (N.F.), Band 7(2000), Heft 4, S. 396-422",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Holzspree,14.22181892,52.15946522,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1973,1997,25,24,Beobachtung,no,NA,NSG Spreewald,NA,NA,NA,Literatur,NA,NA,NA,NA
324,Heinrichs2014,NA,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,NA,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",9.983333333,51.55,NA,Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,"Angaben zum Boden: Ausgangsmaterial für die Bodenbildung unter dem Carici-Fagetum ist der Untere Muschelkalk, aus dem sich an den steilen Hängen und Abbruchkanten meist skelettreiche, flachgründige Rendzinen entwickelt haben. Der Seggen-Hangbuchenwald kom",Literatur,D,NA,NA,NA
325,Heinrichs2014,NA,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,NA,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",9.983333333,51.55,NA,Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Pflanzen,Pflanzen,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
326,Heinrichs2014,NA,"Heinrichs, S. et al.",2014,50 years of constancy and dynamics of calcareous beech forests on dry slopes (Carici-Fagetum) - A comparison of old and recent vegetation releves from the Göttingen forest,Tuexenia 34: 9–38,10.14471/2014.34.008,NA,Konrad Adler,Konrad Adler,Wald,Carici-Fagetum,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"Göttinger Wald, ein niedriger Mittelgebirgszug östlich von Göttingen",9.983333333,51.55,NA,Artenzahl,"Zeit, Waldgesellschaftstypen",Pflanzen,Moose,Moose,NA,1955,2012,58,2,Beobachtung,negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
